basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	linenumb	relhead	relmom	relindex	sex	monbirth	yearbirt	age	gradecom	vocation	inschool
32	11	11	13266	23266	1	7	8	8	4	1	5	2002	5	-9	0	-9
32	16	16	13270	23270	2	1	0	1	2	1	12	1952	55	-9	0	-9
32	16	16	13270	23270	2	2	1	0	3	2	12	1960	46	4	0	0
32	16	16	13270	23270	2	3	4	4	6	1	6	1987	20	-9	0	-9
32	16	16	13270	23270	2	4	5	5	7	2	6	1989	18	-9	0	-9
32	16	16	13270	23270	2	5	5	5	7	2	10	1992	15	-9	0	-9
32	16	16	13270	23270	2	6	5	5	7	2	9	1995	12	-9	0	-9
32	16	16	13270	23270	2	7	5	5	7	2	11	1998	8	-9	0	-9
32	28	28	13282	23282	1	1	0	1	2	1	7	1955	52	-9	0	-9
32	28	28	13282	23282	1	2	1	0	3	2	10	1958	49	6	0	0
32	28	28	13282	23282	1	3	4	4	34	1	11	1983	24	11	0	0
32	28	28	13282	23282	1	4	4	4	6	1	9	1985	22	-9	0	-9
32	28	28	13282	23282	1	5	5	5	7	2	5	1987	20	-9	0	-9
32	10	10	13265	23265	2	1	0	1	2	1	5	1952	55	-9	0	-9
32	10	10	13265	23265	2	2	1	0	3	2	12	1956	51	15	0	0
32	10	10	13265	23265	2	3	4	4	6	1	10	1981	26	-9	0	-9
32	10	10	13265	23265	2	4	5	5	7	2	7	1984	23	-9	0	-9
32	10	10	13265	23265	2	5	5	5	7	2	6	1990	17	-9	0	-9
32	10	10	13265	23265	2	6	19	19	21	1	11	1984	23	-9	0	-9
32	35	35	13289	23289	1	1	0	1	2	1	5	1962	45	-9	0	-9
32	35	35	13289	23289	1	2	1	0	3	2	11	1963	44	4	0	0
32	35	35	13289	23289	1	3	4	4	6	1	11	1986	21	-9	0	-9
32	35	35	13289	23289	1	4	5	5	7	2	12	1989	17	-9	0	-9
32	35	35	13289	23289	1	5	5	5	7	2	6	1993	14	-9	0	-9
32	35	35	13289	23289	1	6	4	4	34	1	12	1983	23	11	1	0
32	35	35	13289	23289	1	7	20	20	1	2	5	1987	20	-9	0	-9
32	35	35	13289	23289	1	8	9	9	5	2	1	2007	0	-9	0	-9
13	491	491	11960	21960	1	1	0	1	2	1	1	1950	57	-9	0	-9
